AAIN,Arlington Asset Investment Corp 6.000% Senior Notes Due 2026,
AADI,Aadi Bioscience Inc. Common Stock,
A,Agilent Technologies Inc. Common Stock,
AA,Alcoa Corporation Common Stock ,
AAPL,Apple Inc. Common Stock,
BTI,British American Tobacco  Industries p.l.c. Common Stock ADR,
BTBT,Bit Digital Inc. Ordinary Shares,
BTI,British American Tobacco  Industries p.l.c. Common Stock ADR,
BZ,KANZHUN LIMITED American Depository Shares,
BYND,Beyond Meat Inc. Common Stock,
CABA,Cabaletta Bio Inc. Common Stock,
CABO,Cable One Inc. Common Stock,
CCMP,CMC Materials Inc. Common Stock,
CCOI,Cogent Communications Holdings Inc.,
CCRN,Cross Country Healthcare Inc. Common Stock $0.0001 Par Value,
DLA,Delta Apparel Inc. Common Stock,
DLB,Dolby Laboratories Common Stock,
DLO,DLocal Limited Class A Common Shares,
DLTR,Dollar Tree Inc. Common Stock,
DLX,Deluxe Corporation Common Stock,
EBAY,eBay Inc. Common Stock,
EBC,Eastern Bankshares Inc. Common Stock,
EBET,Esports Technologies Inc. Common Stock,
EDR,Endeavor Group Holdings Inc. Class A Common Stock,
EDRY,EuroDry Ltd. Common Shares ,
FBC,Flagstar Bancorp Inc. Common Stock,
FBHS,Fortune Brands Home & Security Inc. Common Stock,
FDS,FactSet Research Systems Inc. Common Stock,
FERG,Ferguson plc Ordinary Shares,
FFIV,F5 Networks Inc. Common Stock,
GAINN,Gladstone Investment Corporation 5.00% Notes Due 2026,
GAINZ,Gladstone Investment Corporation 4.875% Notes due 2028,
GBAB,Guggenheim Taxable Municipal Bond & Investment Grade Debt Trust Common Shares of Beneficial Interest,
GBCI,Glacier Bancorp Inc. Common Stock,
GBLI,Global Indemnity Group LLC Class A Common Stock (DE),
HCI,HCI Group Inc. Common Stock,
HCKT,Hackett Group Inc (The). Common Stock,
HCM,HUTCHMED (China) Limited American Depositary Shares,
HCXY,Hercules Capital Inc. 6.25% Notes due 2033,
HD,Home Depot Inc. (The) Common Stock,
ICUI,ICU Medical Inc. Common Stock,
IDT,IDT Corporation Class B Common Stock,
IDXX,IDEXX Laboratories Inc. Common Stock,
IEP,Icahn Enterprises L.P. Common Stock,
IESC,IES Holdings Inc. Common Stock,
JYNT,The Joint Corp. Common Stock
JWN,Nordstrom Inc. Common Stock,
KAI,Kadant Inc Common Stock,
KBR,KBR Inc. Common Stock,
KEN,Kenon Holdings Ltd. Ordinary Shares,
KEYS,Keysight Technologies Inc. Common Stock,
KF,Korea Fund Inc. (The) New Common Stock,
LAW,CS Disco Inc. Common Stock,
LAWS,Lawson Products Inc. Common Stock,
LAZ,Lazard LTD. Lazard LTD. Class A Common Stock,
LBRDA,Liberty Broadband Corporation Class A Common Stock,
LBRDK,Liberty Broadband Corporation Class C Common Stock,
MAR,Marriott International Class A Common Stock,
MARA,Marathon Digital Holdings Inc. Common Stock,
MAS,Masco Corporation Common Stock,
MASI,Masimo Corporation Common Stock,
MBWM,Mercantile Bank Corporation Common Stock,
NEWR,New Relic Inc. Common Stock,
NEWT,Newtek Business Services Corp. Common Stock (Maryland),
NEWTL,Newtek Business Services Corp. 5.75% Notes due 2024,
NGG,National Grid Transco PLC National Grid PLC (NEW) American Depositary Shares,
NGVT,Ingevity Corporation Common Stock ,
OAS,Oasis Petroleum Inc. Common Stock,
OCCIP,OFS Credit Company Inc. 6.875% Series A Term Preferred Stock,
ODFL,Old Dominion Freight Line Inc. Common Stock,
ODP,The ODP Corporation Common Stock,
OM,Outset Medical Inc. Common Stock,
PANW,Palo Alto Networks Inc. Common Stock,
PAR,PAR Technology Corporation Common Stock,
PCGU,Pacific Gas & Electric Co. Equity Unit,
PCTY,Paylocity Holding Corporation Common Stock,
PCVX,Vaxcyte Inc. Common Stock,
QTWO,Q2 Holdings Inc. Common Stock,
RACE,Ferrari N.V. Common Shares,
RAMP,LiveRamp Holdings Inc. Common Stock,
RAPT,RAPT Therapeutics Inc. Common Stock,
RARE,Ultragenyx Pharmaceutical Inc. Common Stock,
RCKY,Rocky Brands Inc. Common Stock,
SAIL,SailPoint Technologies Holdings Inc. Common Stock,
SAK,Saratoga Investment Corp 7.25% Notes due 2025,
SAL,Salisbury Bancorp Inc. Common Stock,
SAM,Boston Beer Company Inc. (The) Common Stock,
SCSC,ScanSource Inc. Common Stock,
TARO,Taro Pharmaceutical Industries Ltd. Ordinary Shares,
TARS,Tarsus Pharmaceuticals Inc. Common Stock,
TCBK,TriCo Bancshares Common Stock,
TDY,Teledyne Technologies Incorporated Common Stock,
TEAM,Atlassian Corporation Plc Class A Ordinary Shares,
TECH,Bio-Techne Corp Common Stock,
UNF,Unifirst Corporation Common Stock,
UNFI,United Natural Foods Inc. Common Stock,
UNH,UnitedHealth Group Incorporated Common Stock (DE),
UNP,Union Pacific Corporation Common Stock,
UPS,United Parcel Service Inc. Common Stock,
UPST,Upstart Holdings Inc. Common stock,
